Soort,Doelsoort,Status,Gebied (jaartal vroegste waarneming)
Pacifastacus leniusculus,rugstreeppad,< 1000m,Winterslag - Schemmersberg (2015)
Pontastacus leptodactylus,beekprik,In gebied, Dommel (2014)
Pontastacus leptodactylus,beekprik,< 100m, Molenbeek (2022)
Pontastacus leptodactylus,grote modderkruiper,In gebied,Doode Bemde (2010); Stadswallen van Damme (2021)
Pontastacus leptodactylus,grote modderkruiper,< 1000m,Bourgoyen-Ossemeersen (2019); De Assels (2019)
Pontastacus leptodactylus,heikikker,< 1000m,Hageven (2014)
Pontastacus leptodactylus,kamsalamander,In gebied,"Grote Gete (Kortenaken, Linter, Zoutleeuw) (2011); Ieper (2025); Polders (Knokke-Heist/Damme) - Hoeke (2022)"
Pontastacus leptodactylus,kamsalamander,< 1000m,Lommel (2014); Polders (Knokke-Heist/Damme) - Sint Donaas (2022)
Pontastacus leptodactylus,poelkikker,< 100m,Hageven (2014)
Pontastacus leptodactylus,poelkikker,< 1000m,Damme (2021)
Pontastacus leptodactylus,rivierdonderpad,In gebied, Dijle (2010);  IJse (2010);  Leigracht (2010)
Pontastacus leptodactylus,rivierdonderpad,< 100m, Molenbeek (2022)
Pontastacus leptodactylus,rivierdonderpad,< 1000m, Afleiding van de IJse (2024);  Nellebeek (2014)
Pontastacus leptodactylus,rugstreeppad,< 1000m,Hageven (2014)
Pontastacus leptodactylus,vroedmeesterpad,< 1000m,Ganzeman (2013)
Procambarus acutus,beekprik,In gebied, Klein Beek (2020);  Laambeek (2024);  Molenbeek (2020);  Molenbeek Zijarm (2021)
Procambarus acutus,beekprik,< 100m, Kleine Nete (2021);  Netekanaal (2021)
Procambarus acutus,beekprik,< 1000m, Gebrokenloop (2020);  Klein Wilboerebeek (2020);  Tappelbeek (2021);  Ziepbeek (2023)
Procambarus acutus,boomkikker,In gebied,Vijvergebied Midden-Limburg - Bolderberg/Wijvenheide Noord (2021); Vijvergebied Midden-Limburg - Platwijers/Wijvenheide Zuid (2015)
Procambarus acutus,grote modderkruiper,In gebied,Platweyers (2021); Viersels Gebroekt (2021); Wiestermeersch (2021)
Procambarus acutus,grote modderkruiper,< 100m,Steenbeemden-Treydbeemd (2021); Varenheuvel-Abroek (2024)
Procambarus acutus,heikikker,In gebied,Terlaemen/Weyerman/Wijvenheide /Platwijers/Kolberg (2015)
Procambarus acutus,kamsalamander,In gebied,Midden-Limburgs Vijvergebied (2015); Pulderbos (Zandhoven) (2020)
Procambarus acutus,kamsalamander,< 100m,Duffel (2023); Mechelen (2013)
Procambarus acutus,kleine modderkruiper,In gebied, Buvelsloop (2024);  Grote Nete (2025);  Klein Beek (2020);  Molenbeek (2020);  Molenbeek Zijarm (2021);  Netekanaal (2024);  Noordzuid Verbinding (2024);  Zuidelijke Watergang (2023)
Procambarus acutus,kleine modderkruiper,< 100m, Bosbeek (2024);  Dorpsloop (2023);  Kleine Nete (2021)
Procambarus acutus,kleine modderkruiper,< 1000m, Gebrokenloop (2020);  Hulsloop (2020);  Klein Wilboerebeek (2020);  Molse Nete (2022);  Tappelbeek (2021);  Verkensloop (2023)
Procambarus acutus,poelkikker,In gebied,Bolderberg (2020); Goor (2025); Visbeekvallei (2024); Wijvenheide en Platweyers (2015)
Procambarus acutus,poelkikker,< 100m,Meerdonk (2023)
Procambarus acutus,poelkikker,< 1000m,Geel Bel / Belse hei (2022)
Procambarus acutus,rivierdonderpad,In gebied, Grote Nete (2025);  Klein Beek (2020);  Molenbeek (2020);  Molenbeek Zijarm (2021)
Procambarus acutus,rivierdonderpad,< 100m, Bosbeek (2024);  Kleine Nete (2021);  Netekanaal (2021)
Procambarus acutus,rivierdonderpad,< 1000m, Dorpsloop (2020);  Gebrokenloop (2020);  Hulsloop (2020);  Klein Wilboerebeek (2020);  Molse Nete (2022);  Tappelbeek (2021);  Verkensloop (2023)
Procambarus acutus,rugstreeppad,< 1000m,Waaslandhaven (2020)
Procambarus clarkii,beekprik,In gebied, Bosbeek (2011);  Grote Nete (2021);  Maas (2024);  Oude Beek (2024);  Witbeek (2011)
Procambarus clarkii,beekprik,< 1000m, Broekbergbeek (2025);  Molenbeek (2025);  Schaagterziep (2025);  Tapziep (2025);  Weergraaf (2025)
Procambarus clarkii,boomkikker,In gebied,Het Zwin (2024); Itterbeek - De Brandt (2025); Itterbeek - Schotsheide (2021)
Procambarus clarkii,grote modderkruiper,In gebied,De Blankaart (2025); Molsbroek (2020); Schipstalbroek (2023); Stadswallen van Damme (2013); Zammelsbroek (2017)
Procambarus clarkii,grote modderkruiper,< 100m,Mechels broek (2025)
Procambarus clarkii,kamsalamander,In gebied,"Beneden-Dijlevallei (2023); De Brand (Maaseik) (2025); Duffel (2023); Duinpolder rond D'Heye (Bredene) (2022); Durme - Sint-Anna (Zele, Hamme) (2023); Hofstade (Zemst) - Bloso (2012); Hofstade (Zemst) -Barebeekvallei (2024); Polders (Knokke-Heist/Damme) - Hoeke (2011); Polders (Knokke-Heist/Damme) - Sint Donaas (2011); Pulderbos (Zandhoven) (2025); Zemst (2022); Zwinstreek (Knokke-Heist) (2020)"
Procambarus clarkii,kamsalamander,< 100m,Het Leen (Zomergem - Eeklo) (2024); Hove (2024)
Procambarus clarkii,kamsalamander,< 1000m,"Cabourg (De Panne) (2025); Edegem en Kontich – Antwerpen (2018); Polders (Oostende) (2024); Provinciaal domein Hertberg (Herselt) (2017); Ronebeek-Steenbeekvallei (Diksmuide, Houthulst) (2025); Sint-Andries (Brugge) (2020); Temse – Kruibeke (2023); Wijnendalebos (Kortemark, Ichtegem, Torhout) (2024)"
Procambarus clarkii,kleine modderkruiper,In gebied, Grote Nete (2021);  Hingenebroekloop (2023);  Houtensluisvaart (2025);  Klein Beek (2025);  Maas (2024)
Procambarus clarkii,kleine modderkruiper,< 100m, Bosbeek (2025)
Procambarus clarkii,kleine modderkruiper,< 1000m, Dorpsloop (2025);  Hulsloop (2025);  IJzer (2025);  Koevaardeken (2025);  Molenbeek (2025);  Stenensluisvaart (2025)
Procambarus clarkii,poelkikker,In gebied,Damme (2012)
Procambarus clarkii,poelkikker,< 100m,Middelkerke (2024)
Procambarus clarkii,poelkikker,< 1000m,Nieuwenhovebos (2018); Visbeekvallei (2023)
Procambarus clarkii,rivierdonderpad,In gebied, Bosbeek (2021);  Grote Nete (2021);  Klein Beek (2025);  Maas (2024);  Oude Beek (2024)
Procambarus clarkii,rivierdonderpad,< 1000m, Cauwenbergloop (2025);  Dorpsloop (2025);  Hulsloop (2025);  Molenbeek (2025)
Procambarus clarkii,rugstreeppad,In gebied,Zwinstreek (2024)
Procambarus virginalis,heikikker,In gebied,Klein schietveld (2024)
Procambarus virginalis,kamsalamander,In gebied,Klein schietveld (2024); Leuven (2017)
Procambarus virginalis,kamsalamander,< 1000m,Warandeduinen (Middelkerke) (2021)
Procambarus virginalis,poelkikker,In gebied,Klein schietveld (2024); Middelkerke (2021)
Procambarus virginalis,rivierdonderpad,< 1000m, Molenbeek (2018)
Procambarus virginalis,rugstreeppad,In gebied,Klein Schietveld (2024)
Procambarus virginalis,rugstreeppad,< 1000m,Winterslag - Schemmersberg (2023)
